List has been created! 
start_time                                  end_time                     activity_label
2011-11-30 1:22:33                     2011-11-30 10:7:31                     Sleeping
2011-11-30 10:11:7                     2011-11-30 10:13:59                     Toileting
2011-11-30 10:14:45                     2011-11-30 10:18:33                     Showering
2011-11-30 10:22:59                     2011-11-30 10:35:0                     Breakfast
2011-11-30 10:39:30                     2011-11-30 10:41:13                     Grooming
2011-11-30 10:41:38                     2011-11-30 13:4:59                     Spare_Time/TV
2011-11-30 13:5:27                     2011-11-30 13:5:31                     Snack
2011-11-30 13:5:38                     2011-11-30 14:9:34                     Spare_Time/TV
2011-11-30 14:11:16                     2011-11-30 14:11:48                     Toileting
2011-11-30 14:13:45                     2011-11-30 14:34:9                     Spare_Time/TV
2011-11-30 14:39:42                     2011-11-30 15:0:24                     Lunch
2011-11-30 15:11:48                     2011-11-30 16:39:11                     Spare_Time/TV
2011-11-30 16:40:1                     2011-11-30 16:40:24                     Toileting
2011-11-30 16:41:5                     2011-11-30 16:41:9                     Snack
2011-11-30 16:41:15                     2011-11-30 18:0:38                     Spare_Time/TV
2011-11-30 18:1:44                     2011-11-30 18:1:47                     Toileting
2011-11-30 18:1:54                     2011-11-30 18:43:20                     Spare_Time/TV
2011-11-30 18:57:8                     2011-11-30 18:57:34                     Toileting
2011-11-30 18:57:39                     2011-11-30 19:37:10                     Spare_Time/TV
2011-11-30 19:37:36                     2011-11-30 19:38:1                     Toileting
2011-11-30 19:46:44                     2011-11-30 20:5:12                     Leaving
2011-11-30 20:13:39                     2011-11-30 20:13:48                     Grooming
2011-11-30 20:14:3                     2011-12-1 1:34:27                     Spare_Time/TV
2011-12-1 1:37:52                     2011-12-1 10:50:45                     Sleeping
2011-12-1 10:55:3                     2011-12-1 10:55:32                     Grooming
2011-12-1 10:58:37                     2011-12-1 11:12:22                     Showering
2011-12-1 11:17:5                     2011-12-1 11:29:49                     Breakfast
2011-12-1 11:30:6                     2011-12-1 14:29:2                     Spare_Time/TV
2011-12-1 14:29:37                     2011-12-1 14:55:2                     Lunch
2011-12-1 15:9:0                     2011-12-1 16:26:17                     Spare_Time/TV
2011-12-1 16:26:35                     2011-12-1 16:27:4                     Toileting
2011-12-1 16:27:3                     2011-12-1 16:46:40                     Spare_Time/TV
2011-12-1 17:17:23                     2011-12-1 17:27:13                     Grooming
2011-12-1 17:29:29                     2011-12-1 18:49:51                     Leaving
2011-12-1 18:55:3                     2011-12-1 19:10:34                     Spare_Time/TV
2011-12-1 19:28:51                     2011-12-1 19:29:59                     Toileting
2011-12-1 19:30:1                     2011-12-1 23:52:52                     Spare_Time/TV
2011-12-1 23:53:0                     2011-12-1 23:53:28                     Grooming
2011-12-1 23:54:32                     2011-12-2 1:18:32                     Spare_Time/TV
2011-12-2 1:18:44                     2011-12-2 1:18:57                     Grooming
2011-12-2 1:19:9                     2011-12-2 2:8:17                     Spare_Time/TV
2011-12-2 2:9:33                     2011-12-2 2:13:56                     Grooming
2011-12-2 2:15:55                     2011-12-2 12:15:19                     Sleeping
2011-12-2 12:16:0                     2011-12-2 12:20:40                     Toileting
2011-12-2 12:20:41                     2011-12-2 13:20:59                     Grooming
2011-12-2 12:21:19                     2011-12-2 12:25:40                     Showering
2011-12-2 12:27:47                     2011-12-2 13:35:49                     Breakfast
2011-12-2 12:37:47                     2011-12-2 14:46:29                     Spare_Time/TV
2011-12-2 14:47:0                     2011-12-2 15:20:0                     Lunch
2011-12-2 15:24:5                     2011-12-2 15:55:12                     Spare_Time/TV
2011-12-2 15:56:2                     2011-12-2 15:57:55                     Grooming
2011-12-2 15:58:0                     2011-12-2 16:36:5                     Spare_Time/TV
2011-12-2 16:37:27                     2011-12-2 16:47:27                     Toileting
2011-12-2 16:47:39                     2011-12-2 19:39:8                     Spare_Time/TV
2011-12-2 19:40:44                     2011-12-2 19:40:50                     Snack
2011-12-2 19:41:14                     2011-12-2 21:26:9                     Spare_Time/TV
2011-12-2 21:27:9                     2011-12-2 21:44:37                     Toileting
2011-12-2 21:46:31                     2011-12-3 1:41:8                     Spare_Time/TV
2011-12-3 1:47:2                     2011-12-3 11:56:20                     Sleeping
2011-12-3 11:57:15                     2011-12-3 11:59:15                     Toileting
2011-12-3 11:59:33                     2011-12-3 12:1:59                     Grooming
2011-12-3 12:3:36                     2011-12-3 12:7:26                     Showering
2011-12-3 12:10:35                     2011-12-3 12:19:30                     Breakfast
2011-12-3 12:21:30                     2011-12-3 13:28:36                     Spare_Time/TV
2011-12-3 13:29:0                     2011-12-3 13:29:59                     Grooming
2011-12-3 13:29:48                     2011-12-3 14:1:20                     Spare_Time/TV
2011-12-3 14:11:10                     2011-12-3 14:14:43                     Grooming
2011-12-3 14:18:11                     2011-12-3 17:48:37                     Leaving
2011-12-3 17:50:14                     2011-12-3 23:53:24                     Spare_Time/TV
2011-12-3 23:54:0                     2011-12-3 23:54:51                     Toileting
2011-12-3 23:55:18                     2011-12-4 3:16:13                     Spare_Time/TV
2011-12-4 3:19:17                     2011-12-4 12:37:49                     Sleeping
2011-12-4 12:39:45                     2011-12-4 12:45:44                     Toileting
2011-12-4 12:46:11                     2011-12-4 12:47:28                     Grooming
2011-12-4 12:50:56                     2011-12-4 12:54:55                     Showering
2011-12-4 12:56:8                     2011-12-4 12:59:48                     Breakfast
2011-12-4 13:0:53                     2011-12-4 13:58:10                     Spare_Time/TV
2011-12-4 14:0:12                     2011-12-4 14:3:42                     Toileting
2011-12-4 14:11:50                     2011-12-4 16:31:1                     Leaving
2011-12-4 16:34:0                     2011-12-4 17:25:39                     Spare_Time/TV
2011-12-4 17:27:3                     2011-12-4 17:27:8                     Snack
2011-12-4 17:27:16                     2011-12-4 17:43:56                     Spare_Time/TV
2011-12-4 17:45:0                     2011-12-4 17:45:59                     Grooming
2011-12-4 18:8:28                     2011-12-4 18:57:52                     Spare_Time/TV
2011-12-4 18:58:6                     2011-12-4 18:59:33                     Toileting
2011-12-4 18:59:53                     2011-12-4 18:59:59                     Snack
2011-12-4 19:0:4                     2011-12-4 22:20:59                     Spare_Time/TV
2011-12-4 22:21:10                     2011-12-4 22:22:10                     Toileting
2011-12-4 22:22:19                     2011-12-5 1:28:9                     Spare_Time/TV
2011-12-5 1:31:34                     2011-12-5 1:31:39                     Grooming
2011-12-5 1:35:10                     2011-12-5 11:48:55                     Sleeping
2011-12-5 11:53:1                     2011-12-5 11:53:31                     Toileting
2011-12-5 11:57:47                     2011-12-5 11:57:55                     Grooming
2011-12-5 12:1:23                     2011-12-5 12:8:56                     Showering
2011-12-5 12:14:49                     2011-12-5 12:24:37                     Breakfast
2011-12-5 13:46:29                     2011-12-5 14:26:46                     Spare_Time/TV
2011-12-5 14:28:36                     2011-12-5 14:28:42                     Grooming
2011-12-5 14:38:7                     2011-12-5 14:55:6                     Leaving
2011-12-5 14:57:51                     2011-12-5 15:40:59                     Lunch
2011-12-5 15:42:25                     2011-12-5 15:43:59                     Grooming
2011-12-5 15:44:0                     2011-12-5 15:44:16                     Toileting
2011-12-5 15:44:56                     2011-12-5 16:2:10                     Spare_Time/TV
2011-12-5 16:6:32                     2011-12-5 16:36:32                     Toileting
2011-12-5 16:37:15                     2011-12-5 17:14:32                     Spare_Time/TV
2011-12-5 17:17:7                     2011-12-5 18:57:16                     Leaving
2011-12-5 19:1:42                     2011-12-5 19:24:2                     Spare_Time/TV
2011-12-5 19:24:11                     2011-12-5 19:24:16                     Snack
2011-12-5 19:24:22                     2011-12-5 20:7:19                     Spare_Time/TV
2011-12-5 20:7:32                     2011-12-5 20:7:47                     Grooming
2011-12-5 20:8:12                     2011-12-5 20:8:52                     Toileting
2011-12-5 20:9:0                     2011-12-5 21:6:25                     Spare_Time/TV
2011-12-5 21:6:35                     2011-12-5 21:6:43                     Toileting
2011-12-5 21:6:44                     2011-12-5 21:7:0                     Grooming
2011-12-5 21:7:14                     2011-12-6 0:38:24                     Spare_Time/TV
2011-12-6 0:39:1                     2011-12-6 0:40:41                     Toileting
2011-12-6 0:42:37                     2011-12-6 10:7:20                     Sleeping
2011-12-6 11:8:0                     2011-12-6 11:8:53                     Toileting
2011-12-6 11:9:49                     2011-12-6 11:11:45                     Grooming
2011-12-6 11:12:19                     2011-12-6 11:25:57                     Showering
2011-12-6 11:30:19                     2011-12-6 11:35:26                     Breakfast
2011-12-6 11:39:34                     2011-12-6 14:37:50                     Spare_Time/TV
2011-12-6 14:40:53                     2011-12-6 15:15:58                     Lunch
2011-12-6 15:18:35                     2011-12-6 15:20:32                     Grooming
2011-12-6 15:21:46                     2011-12-6 17:11:4                     Spare_Time/TV
2011-12-6 17:13:4                     2011-12-6 17:19:4                     Toileting
2011-12-6 17:19:34                     2011-12-6 18:6:26                     Spare_Time/TV
2011-12-6 18:7:3                     2011-12-6 18:7:15                     Grooming
2011-12-6 18:7:36                     2011-12-6 19:22:33                     Spare_Time/TV
2011-12-6 19:22:50                     2011-12-6 19:22:55                     Snack
2011-12-6 19:25:56                     2011-12-6 19:26:20                     Grooming
2011-12-6 19:40:28                     2011-12-7 0:7:38                     Spare_Time/TV
2011-12-7 0:7:47                     2011-12-7 0:7:57                     Grooming
2011-12-7 0:8:10                     2011-12-7 0:54:50                     Spare_Time/TV
2011-12-7 0:57:29                     2011-12-7 0:57:53                     Toileting
2011-12-7 0:59:56                     2011-12-7 10:45:40                     Sleeping
2011-12-7 10:46:15                     2011-12-7 10:49:26                     Toileting
2011-12-7 10:50:38                     2011-12-7 11:4:19                     Grooming
2011-12-7 11:5:51                     2011-12-7 11:11:32                     Showering
2011-12-7 11:12:17                     2011-12-7 11:20:4                     Breakfast
2011-12-7 11:22:58                     2011-12-7 13:56:10                     Spare_Time/TV
2011-12-7 14:3:34                     2011-12-7 14:39:30                     Lunch
2011-12-7 14:41:59                     2011-12-7 15:28:3                     Spare_Time/TV
2011-12-7 15:31:23                     2011-12-7 15:31:41                     Grooming
2011-12-7 15:31:42                     2011-12-7 15:31:46                     Toileting
2011-12-7 15:32:15                     2011-12-7 16:11:28                     Spare_Time/TV
2011-12-7 16:15:26                     2011-12-7 16:21:9                     Grooming
2011-12-7 16:25:45                     2011-12-7 18:12:36                     Leaving
2011-12-7 18:14:56                     2011-12-7 18:14:59                     Grooming
2011-12-7 18:15:0                     2011-12-7 18:15:3                     Toileting
2011-12-7 18:15:51                     2011-12-7 19:21:46                     Spare_Time/TV
2011-12-7 19:23:55                     2011-12-7 19:28:46                     Snack
2011-12-7 20:37:50                     2011-12-7 20:38:18                     Snack
2011-12-7 20:39:16                     2011-12-7 20:39:44                     Toileting
2011-12-7 20:40:29                     2011-12-7 20:42:35                     Spare_Time/TV
2011-12-7 20:52:23                     2011-12-7 23:19:30                     Spare_Time/TV
2011-12-7 23:19:40                     2011-12-7 23:19:56                     Toileting
2011-12-7 23:20:16                     2011-12-8 1:32:32                     Spare_Time/TV
2011-12-8 1:39:41                     2011-12-8 11:14:29                     Sleeping
2011-12-8 11:17:37                     2011-12-8 11:17:48                     Grooming
2011-12-8 11:17:49                     2011-12-8 11:17:58                     Toileting
2011-12-8 11:18:2                     2011-12-8 11:18:13                     Grooming
2011-12-8 11:19:22                     2011-12-8 11:24:17                     Showering
2011-12-8 11:25:12                     2011-12-8 11:34:1                     Breakfast
2011-12-8 11:36:9                     2011-12-8 13:41:19                     Spare_Time/TV
2011-12-8 14:4:49                     2011-12-8 14:5:1                     Grooming
2011-12-8 14:10:3                     2011-12-8 16:21:41                     Leaving
2011-12-8 16:24:27                     2011-12-8 22:13:23                     Spare_Time/TV
2011-12-8 22:13:35                     2011-12-8 22:13:49                     Grooming
2011-12-8 22:14:14                     2011-12-8 23:12:37                     Spare_Time/TV
2011-12-8 23:14:9                     2011-12-8 23:14:27                     Grooming
2011-12-8 23:14:35                     2011-12-9 1:3:7                     Spare_Time/TV
2011-12-9 1:4:24                     2011-12-9 1:5:43                     Grooming
2011-12-9 1:16:42                     2011-12-9 10:49:7                     Sleeping
2011-12-9 10:51:56                     2011-12-9 10:52:27                     Toileting
2011-12-9 10:52:30                     2011-12-9 10:52:50                     Grooming
2011-12-9 10:54:58                     2011-12-9 10:58:21                     Showering
2011-12-9 11:0:13                     2011-12-9 11:8:15                     Breakfast
2011-12-9 11:9:35                     2011-12-9 12:32:57                     Spare_Time/TV
2011-12-9 12:33:21                     2011-12-9 12:42:15                     Grooming
2011-12-9 12:44:16                     2011-12-9 16:33:56                     Leaving
2011-12-9 16:45:53                     2011-12-9 16:59:52                     Spare_Time/TV
2011-12-9 17:1:37                     2011-12-9 17:4:57                     Toileting
2011-12-9 17:6:38                     2011-12-9 17:59:19                     Spare_Time/TV
2011-12-9 17:59:25                     2011-12-9 17:59:27                     Grooming
2011-12-9 18:2:18                     2011-12-9 18:19:3                     Spare_Time/TV
2011-12-9 18:32:2                     2011-12-9 18:48:36                     Leaving
2011-12-9 19:19:54                     2011-12-9 21:4:31                     Spare_Time/TV
2011-12-9 21:4:37                     2011-12-9 21:4:50                     Grooming
2011-12-9 21:4:59                     2011-12-10 0:16:21                     Spare_Time/TV
2011-12-10 0:16:31                     2011-12-10 0:16:49                     Grooming
2011-12-10 0:17:5                     2011-12-10 0:46:13                     Spare_Time/TV
2011-12-10 0:50:47                     2011-12-10 9:26:17                     Sleeping
2011-12-10 9:28:0                     2011-12-10 9:35:48                     Toileting
2011-12-10 9:37:16                     2011-12-10 9:46:27                     Grooming
2011-12-10 9:47:44                     2011-12-10 9:52:42                     Showering
2011-12-10 9:55:18                     2011-12-10 10:2:10                     Breakfast
2011-12-10 10:3:20                     2011-12-10 12:34:9                     Spare_Time/TV
2011-12-10 12:52:54                     2011-12-10 12:53:39                     Grooming
2011-12-10 13:4:3                     2011-12-10 17:7:3                     Leaving
2011-12-10 17:11:23                     2011-12-10 20:16:51                     Spare_Time/TV
2011-12-10 20:21:54                     2011-12-10 20:23:16                     Grooming
2011-12-10 20:25:40                     2011-12-11 0:56:5                     Leaving
2011-12-11 1:1:41                     2011-12-11 2:26:29                     Spare_Time/TV
2011-12-11 2:27:23                     2011-12-11 2:28:44                     Grooming
2011-12-11 2:31:15                     2011-12-11 11:57:34                     Sleeping
2011-12-11 11:58:17                     2011-12-11 12:1:27                     Toileting
2011-12-11 12:2:25                     2011-12-11 12:2:39                     Grooming
2011-12-11 12:2:56                     2011-12-11 12:18:42                     Showering
2011-12-11 12:21:57                     2011-12-11 12:30:9                     Breakfast
2011-12-11 12:32:49                     2011-12-11 14:26:18                     Spare_Time/TV
2011-12-11 14:34:12                     2011-12-11 15:26:17                     Lunch
2011-12-11 15:28:59                     2011-12-11 15:30:14                     Toileting
2011-12-11 15:41:34                     2011-12-11 15:43:30                     Grooming
2011-12-11 15:43:51                     2011-12-11 21:41:48                     Spare_Time/TV
